,会社名,給料
0,株式会社アール・エム | 大阪府緊急雇用対策に賛同｜完全週休2日制・年間休日120日以上,【完全週休2日制or週休2日制⇒選べる休日制度を採用！】中小企業様ごとの理想のホームページを企画提案、IT化の促進支援、ブランディング
1,株式会社サンテック | 【圧倒的安定感】業界大手×インフラ事業／コロナ禍でも業績好調,【男女共に歓迎／未経験者歓迎】「提案する」「売る」という営業の本質を学び、習得し、成長したい方、ぜひご応募ください！◆35歳までの方（※）
2,株式会社ガリレオコーポレーション | ☆★完全週休2日制&年間休日117日で、プライベートも充実★☆,《希望以外の転勤なし／UIターン歓迎》 大阪・東京・福岡・名古屋の各拠点のいずれかに配属します。…
3,株式会社貴順 | ★未経験歓迎★週・日払いも可★男女活躍中★契約祝金3万円あり,【休日日数に応じて給与体系を選択していただけます】 《1》週休2日制／月給25万円＋インセンティブ ※固…
4,株式会社エー・エス・エル | 《東証一部上場企業グループ》コロナ禍でも過去最高益レベル！,400万円～700万円
5,大同生命保険株式会社 | ★業界経験一切不問 ★有給取得実績多数 ★転勤なし ★土日休み,"【2ヶ月の研修で未経験でも安心◎】研修中も日額8,000円を支給！エアコンや洗濯機・冷蔵庫などの家電修理業務です。案件数:1日平均5～10件程"
6,"フジイハウス産業株式会社 | 【""三菱地所""や""住友不動産""と取引】大阪府緊急雇用対策に賛同",【＼学歴不問／職種・業種未経験、歓迎します！】※要普通免許★
7,株式会社コプロ・エンジニアード | 東証・名証一部上場コプロホールディングスのグループ,自宅⇔お客様宅の直行直帰スタイルです。 以下いずれかのエリアでの勤務です (希望エリアで働けます！…
8,株式会社ビッグモーター | 年収800万円も可能★月8～10日休み★面接1回★住宅手当など充実,完全出来高制 ┗1件あたりの支払い報酬 　…3000円〜1万5000円 ※修理品種や作業難易度により、 　支払…
9,株式会社センス | ★広島・福岡支店の採用強化！地元でしっかり稼ぎたい方を歓迎★,◎営業／ノルマなし・ご案内業務が中心！営業未経験でも安心の研修体制です！　★あなたが人生で培ってきたものを、今こそ”収入”にしませんか？
10,株式会社グランド1コーポレーション | 入社1年目で年収700万円可／残業ほぼなし／月給25万円～,《 未経験、第二新卒大歓迎 》★採用は意欲や人柄重視で行います。 ★内定まで2週間！ ★完全週休2日制！待遇UPも働きやすさも手に入れませんか？
11,UTエイム株式会社 | 【東証一部上場グループ】フリーターもOK！大切なのはこれから♪,★転勤なし ★希望の勤務地に配属！ 【本社】 福岡県福岡市博多区上牟田1-7-6 【本部】 福岡県…
12,株式会社ソヴリックコーポレーション | 【大阪府緊急雇用対策に賛同】＃未経験＃高収入＃有給取得100％,月給25万円以上 ★平均月収80万円！ ※経験・年齢・能力を考慮の上、優遇します。 ※試用期間1〜3ヶ月…
13,リベル株式会社 | ★急成長中の不動産ベンチャー ★面接1回 ★高率インセンティブ,500万円～2000万円
14,株式会社サーバントップ | ★直行直帰OK★インセン賞与年2回｜大阪府緊急雇用対策に賛同,【寮制度あり！首都圏エリアでのお仕事を積極支援！】個人宅への宅配やルート配送★軽自動車（AT車）で運ぶので安心★車両のレンタル・持ち込みOK！
15,株式会社九州エネコ | 《年収例／3年目 880万円／3年目 738万円／6年目 1421万円》,【未経験大歓迎／学歴・ブランク不問】■要普免（AT限定可）★これまでの経験は一切問いません！ ★社会人デビューも応援 ★正社員登用制度あり
16,日研トータルソーシング株式会社 | 【大阪府緊急雇用対策に賛同】◆年休最大160日◆残業ほぼなし,【首都圏エリア積極採用中！】全国に勤務地候補あり ◎転勤なし ◎寮制度あり ※規定あり 〈本社住所…
17,株式会社ハマエンジニアリング | 【TV＆WEBCM絶賛放映中】賞与年3回★20代で年収450万円超えも可,完全出来高制（1件あたり150円〜240円） ★月収55万円以上のスタッフ8割以上 ☆収入満足度90％以上 ※…
18,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,100万円～1000万円
19,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,《SPA/AWS/コンテナ/IaC等の最新トレンド案件多数！》◆スキルや志向に応じて開発系orインフラ系の案件で活躍！※自社内開発あり
20,神明株式会社 | #残業月平均20h以下 #賞与年2回 #土日休 #資格取得支援制度有り,《複数名採用予定！》◎学歴不問 ◎ITエンジニアとしての何らかの実務経験（システム・インフラ不問）★転職回数やブランク等も不問です！
21,株式会社AZism | 【横浜家系ラーメン 大和家／田田】業績好調★転居伴う転勤無し,■東京都、埼玉県、神奈川県、千葉県内のプロジェクト先 ■仙台市内のプロジェクト先 ※希望、お住まい…
22,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,月給30万円〜　＋　賞与年3回 ※入社時点で、前職時の給与額を保証します！ ※経験・スキルなどを考慮の…
23,UTエイム株式会社 | 【超スピード選考】最短当日面談＆当日採用(規定有)！,400万円～800万円
24,株式会社ビッグモーター | 【業界No.1】平均年収861万円◆表彰式あり◆未経験歓迎◆面接1回,【 平均月給42.9万円★30～40代の女性が活躍中 】企業に向けて福利厚生制度を充実させるためのご提案を行います。
25,UTコンストラクション株式会社 | 東証一部上場グループ★大手グループの安定基盤★土日祝休み,【業界未経験者歓迎★子育て中の方も多数活躍中 】社会人経験をお持ちの方(業界・業種・年数は一切不問)
