,会社名,給料
26,UTエイム株式会社 | 【東証一部上場グループ】★社宅費全額補助エリア多数あり！,【転勤なし】全国の47都道府県の支社 ＜北海道・東北＞ 北海道、青森県、岩手県、宮城県、秋田県、山…
27,株式会社アミ―クス | 『トータルリペア』オーナー募集,初任給 月給16万〜25万円＋諸手当(地域・能力により異なる) ※試用期間2ヶ月あり（条件変更なし） ＜＜ …
28,株式会社クラシアン | 未経験歓迎★日本全国に展開中！好きな街で働ける,【基本土日祝休み！】◆マンションなどの住まいへ「水」を届けるためのメンテナンス・管理業務 ★水を支える仕事だから常にニーズあり
29,クルーガーグループ株式会社 | 業績好調！全国で複数名の積極採用／面接1回／福利厚生◎,【未経験】⇒ 40歳までの方【経験者】⇒ 給排水・配管工事の業務経験／年齢不問 ※要普通自動車免許 ★正社員デビューもOK／人物重視の採用★
30,UTエイム株式会社 | 【東証一部上場グループ】★WEB面接OK／スピード入社も可能,【転勤なし／U・Iターン歓迎】 大阪府守口市南寺方中通2-1-21 ◎バイク・自転車通勤可
31,株式会社ポケットモバイル | オンオフつけた最高の働き方OK★平均年齢27歳★同期も多数活躍中,【未経験】月給25万円〜30万円+諸手当+賞与(年2回) 【経験者】月給30万円〜50万円+諸手当+賞与(年2回) …
32,日研トータルソーシング株式会社 | 【大阪府緊急雇用対策に賛同】★オンライン説明会開催中！,300万円～700万円
33,株式会社ビッグモーター | 億単位の設備とクリーンな環境◆月8日以上休み／賞与年2回,【 土木・建築いずれかの分野での施工管理業務 】街のシンボルとなるランドマークや国家プロジェクト級の交通インフラなど多彩なプロジェクトあり！
34,株式会社ビッグモーター | ＼平均年収860万円 ◆ 年収2000万円超の実績あり／,【やりたいプロジェクトでイキイキと活躍するエンジニア多数！生涯現役＆年収キープも可能】◎施工管理の実務経験者(年数・分野不問)の採用です！
35,株式会社ビッグモーター | ◆年収例500万円（26歳：未経験入社3年目）◆マイカー通勤可能,▼▼全国の希望エリアにて就業可能▼▼ ★転勤なし！ <建設専門拠点> ◆札幌支店(北海道) ◆仙台…
36,リベラルソリューション株式会社 | 中四国支社｜様々な再生可能エネルギー事業を展開★完週休2日制,月給40万円〜75万円+残業手当(1分単位) ※スキル・年齢・経験・能力を十分に考慮します。 ★残業は1分単…
37,"サングローブ株式会社 | ★創業7期目で15,000社と直取引★年休130日/土日祝休み/残業ゼロ",520万円～940万円
38,UTエイム株式会社 | 【東証一部上場グループ】★普段着での面談でOK,【ゼロから学べる研修】事故車など、クルマの凹みや傷の修復、塗装をお任せします。★外国人スタッフ活躍中 ★インセンあり/年収500万円(2年目実績)
39,日研トータルソーシング株式会社 | 【大阪府緊急雇用対策に賛同】◆年休最大160日◆地域限定正社員,【経験・資格・年齢不問！】未経験歓迎！中途入社の先輩が多数活躍中♪『クルマ・機械いじりが好き』『手に職つけたい』『地元で稼ぎたい』方歓迎！
40,ライクスタッフィング株式会社 | [大阪府緊急雇用対策に賛同]★東証一部上場グループ★WEB面接1回,《転勤なし》億単位の設備を整えたクリーンな工場！ ★全国募集 ★マイカー通勤OK ★希望・最寄りの…
41,株式会社オープンハウス | 東証一部上場◆20代の管理職率76％◆年4回昇給&昇格のチャンス有,"月給228,600円〜35万円＋インセンティブ（月平均10〜20万円）＋諸手当 ※スキル・経験等を考慮し、決定…"
42,株式会社ロジカル | コロナ禍・景気にも左右されない安定企業◆面接1回で内定,300万円～1000万円
43,日研トータルソーシング株式会社 | 大阪府緊急雇用対策に賛同　★応募から1～2週間でスピード内定可,◆未経験でも売りやすさバツグン◆SONYの超高速インターネット回線「NURO光」など、知名度の高い商材をご担当いただきます◆20代の男女が活躍中◆
44,UTエイム株式会社 | 【東証一部上場グループ】オンライン面接でスムーズな転職も可能,「え！？週休3日？」「月末10連休って本当に？」──本当です！家族のことも自分のこれからも、すべて本気で考えていきたい方はご応募を！
45,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー！,各拠点の募集【東京本社（池袋）埼玉支社（大宮）群馬支店（高崎）福岡支店（赤坂）広島支店（中区）】…
46,リベラルソリューション株式会社 | 京都支社｜★社会貢献性大！様々な再生可能エネルギー事業を展開,月給:24万円〜70万円＋インセンティブ＋各種手当 ※経験・スキルを考慮して決定いたします。 ※試用期間…
47,株式会社ビッグモーター | 業界No.1企業の安定性／面接1回／転勤なし／連休OK！,350万円～800万円
48,UTエイム株式会社 | 【東証一部上場グループ】★土日休み可能！年間休日127～190日,"【入社後すぐに成果が出る…→初契約まで平均半月～3ヶ月程】投資用・中古マンションの営業をお任せします。★入社3年目で年収1,500万円超の先輩も★"
49,UTコンストラクション株式会社 | 東証一部上場グループ★大手グループの安定基盤★土日祝休み,【経験・学歴・性別も一切不問！未経験スタートの先輩多数】■35歳以下(※)　◎中途入社率100％！ ◎資格取得で「年20万円」の資格手当支給も！
50,株式会社ビッグモーター | 業界No.1の実績＆安定性／転勤なし・好きな街で活躍／面接1回,【100％内勤・カンタンな入力作業が中心♪】クルマの修理に関する受付やデータ入力、電話対応などをお任せ！ ※事務未経験の方もご安心ください♪
51,株式会社ビッグモーター | 【業界No.1企業】転勤なし★地元勤務できる正社員★未経験歓迎！,【未経験／第二新卒歓迎】「事務デビューしたい」「大手企業で働きたい」方も歓迎♪☆20～30代女性活躍中！☆産・育休取得実績も多数でずっと安心！
52,JTA株式会社 | 【20代で年収1000万円超えの社員続出中！】◆土日休み◆転勤なし,★転勤なし ★全国の各拠点で大募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪…
53,株式会社クラシアン | 景気に左右されない安定企業★毎年依頼件数が増加中！,【東京・千葉・埼玉エリア】 ■月給25万3600円〜38万5200円 ＋ 業績給 ＋ 賞与年2回 【上記以外のエリア…
54,株式会社三鋭システム | 特許技術の独自システムが強力アシスト★最大20万円赴任補助！,300万円～550万円
55,株式会社ネオ・コーポレーション | 業績好調！21年連続増収増益／今年6月に、大阪本社が拡大移転！,【100%反響スタイル＆ノルマなし】ご来店されたお客さまに「欲しいクルマ」を伺い、ピッタリな車をご提案するお仕事 ★8割の社員が年収650万円以上！
56,株式会社ビッグモーター | ＼業界No.1 ◆ 店舗別採用 ◆ 85％が年収650万円以上／,【未経験・第二新卒歓迎！車の知識不問】◆40歳以下 ★20～30代男女活躍中 ★プライベートも大切にしたい方／好きな街で働きたい方／収入UPをしたい方
57,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループの安定基盤】,【全国約300店舗／転勤なし／マイカー・自転車通勤OK！】 ★希望勤務地への配属です ★U・Iター…
58,UTエイム株式会社 | 【東証一部上場グループ】★WEB面接OK／今月入社も可能,月給22万8600円〜70万円(一律手当含)＋インセンティブ＋賞与年2回+諸手当 ※ご経験・ご年齢を考慮の上、…
59,株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同,330万円～1500万円
60,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,【20代で年収1000万円の高収入を実現する社員も多数在籍中】◆一般のお客様へKDDIの高速通信サービス等をご案内します◆成約率80％以上
61,株式会社TCG | 【前職給与保証！働く時間は12～18時の6時間！】,【実績を出せば必ず評価します！1年以内にマネージャーへの道も！】◎未経験・第二新卒の方歓迎します◎35歳までの方全員と面接します！
62,株式会社ワールドコーポレーション,★転勤なし ★渋谷本社または各支店、全国各拠点 ★希望の拠点で働けます ※拠点のあるエリアでも通勤…
63,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,月給25万円以上＋高率インセンティブ＋随時昇給 ※上記はあくまで最低保証給です。 ※経験・年齢を考慮の…
64,UTコンストラクション株式会社 | <東証一部上場グループ>家電家具付き社宅＋6割補助＋引越費支給,500万円～1000万円
65,東建コーポレーション株式会社 | ◎WEB面接実施中　◎全国採用実施中（自宅近くの拠点を考慮）,【テレアポ・飛び込み・押し売りなし！】ご連絡頂いたお客様先を訪問、ご要望に応えます(状況確認/見積作成/提案など)★稼げるようになる3ヶ月の研修
66,日本eリモデル株式会社 | 勤続1年以上の平均月収60万円【大阪府緊急雇用対策に賛同】,【性別不問／未経験&第2新卒歓迎】40歳まで 、要普免（AT可） ◇営業経験・サービス業での経験を活かせる ◇安定収入&月9日休み！家族も嬉しい♪
67,東建コーポレーション株式会社 | ◎WEB面接実施中　◎全国採用実施中（自宅近くの拠点を考慮）,☆転勤なし ☆車通勤OK／社用車貸与 ☆一都三県エリア増員強化中(9〜10月入社の方は手当支給)…
68,東建コーポレーション株式会社 | ＼若手限定求人／ 20代で年収100万円以上UPの先輩多数！,月給22万円以上 + 歩合給 + 諸手当 ※スキル・経験等を考慮の上、弊社規定により優遇します。 ※試用期間…
69,東建コーポレーション株式会社 | WEB面接実施！『 年齢に関係なく、まだまだやれる会社です！』,400万円～600万円
70,UTエイム株式会社 | 【東証一部上場グループ】安定性抜群★WEB面接OK,【飛び込み・テレアポ・ノルマなし】お客様のニーズにマッチした人材の提案 ★完全未経験でも入社1か月目で初受注可能！★入社2年目で年収600万円も◎
71,春電株式会社 | 選べる完全週休2日｜年収700万円以上も目指せる｜出張・夜間なし,【現在は、1日6時間勤務＆残業ほぼナシ★育休復帰率100％】営業経験やIT業界経験は一切不問！人物重視の採用 ★最大20万円補助！U/Iターン歓迎
72,DSP株式会社 | <大阪府緊急雇用対策に賛同>【完全週休2日】【産休育休実績有】,転勤なし！末広町＆秋葉原からアクセス可能！ 本社／東京都千代田区外神田5-1-3　ニュー末広ビル6…
73,株式会社リンクスタッフグループ | ＜コロナ禍でも前年比成長率150%見込み！＞★実力を試せる！,月給21万7000円〜 ※未経験者の初任給、半年後に一度昇給あり。 ※上記月額には、時間外労働の有無に関わ…
74,JCSロジスコ株式会社 | ◆電話・Web面接も可能／翌日振込・前払いもOK／勤務地自由！◆,300万円～550万円
75,株式会社修優舘 | 基本残業ゼロ｜賞与年3回+業績給｜オープニング募集もあり,【即決契約率80％以上／コンプライアンスに則ったキレイな売り方】電気のコスト削減ができる電子ブレーカー(自社開発商品「N-EBシリーズ」)の提案営業
76,株式会社そら | 【Dr.ストレッチを全国展開】目標や夢に向けて頑張る仲間が集結,【全国10拠点での募集です／学歴・職歴・転職回数・年齢・性別、一切不問】 ◎稼ぐ目的がハッキリしている方、現状に満足せず突き進める方を歓迎！
77,株式会社栄商 | 【U・Iターン歓迎】引越し費用会社負担 & 住宅費用補助あり,全国10拠点 大阪/仙台/広島/東京/名古屋/九州/札幌/新潟/鹿児島/大宮 ■大阪本店 大阪府大…
78,大東建託株式会社 | 【東証一部上場】◆全国募集◆残業代1分単位支給◆Web説明会実施,■月給は勤務地別 大阪/24.8万円〜31.3万円※24.8万円 東京・大宮/25.7万円〜32.2万円※25.7万円 仙台・…
79,エムケイ株式会社 | 【大阪府緊急雇用対策に賛同】★社員寮完備★昼勤or夜勤を選択可,500万円～1500万円
80,株式会社誠進堂 | 売上は昨年対比170％UP／平均月収50万円＆平均年収700万円！,＼ノルマや飛び込み営業はありません！／ ご来店・お問い合わせのあったお客様へクルマの販売・買取を行います。★入社時に知識は不要です！
81,株式会社ミュゼプラチナム | ★週休3日もOK★コスメ社割／全身美容脱毛0円★WEB面接1回,＼未経験・第二新卒歓迎！学歴不問／★20～30代の未経験スタートの先輩が活躍中！ ★販売・接客・営業など人と接する仕事の経験がある方大歓迎！
82,株式会社ONE | #ボーナス年間250万円の実績あり,《全国約300店舗！転勤なし！マイカー・自転車通勤OK！》 ★勤務地は最寄り・希望の店舗を選べます…
83,有限会社高美電気工事 | #大阪府緊急雇用対策に賛同 #整った労務環境 #平均月収40万円～,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※ご経験・ご年齢を考慮…
84,倉一建基株式会社 | 中電工と安定取引/『地球』を相手にする技術力で圧倒的なシェア,330万円～1500万円
85,株式会社建築資料研究社 | 資格系スクール「日建学院」を運営【大阪府緊急雇用対策に賛同】,【好きな地でライフプランを設計！】スマホやPC製品の搬入・運搬等※モクモク＆コツコツ作業が中心！★スキルや経験がなくても安心！
86,株式会社テラスカイ・テクノロジーズ | ★東証一部上場「テラスカイ」グループが立ち上げた新会社,《履歴書・職務経歴書不要です！》未経験や社会デビュー・ブランクのある方も大歓迎！人付き合いが苦手でも大丈夫◎ ★年休127～190日 ★面接1回
87,株式会社YKH | 「Challenge Change Revolution」が合言葉◆入社祝い金100万円有,【転勤なし】全国41都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…
88,株式会社ジーアフター | 輸入車・国産車の買取、販売◇売上前年比130%成長で不況知らず！,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
89,株式会社アクトプロブレインズ | 過去全員が前職給与UP*リモート＆フレックス推奨*残業月平均10h,300万円～500万円
90,株式会社大成社 | 年収平均80万UP／Java 3年経験者：月給例48.75万／年収例585万,完全未経験OK！「やりたいことがない…」そんな方もOK！化粧品・医薬品/半導体/自動車分野におけるものづくり業務★8/9月入社歓迎
91,株式会社フジナガ | 【創業40周年】全国展開する鳥害対策業界のトップクラスメーカー,【学歴・経験不問】やりたいことはこれから探そう！「安定した環境で働きたいから…」なんて志望理由だけでOK！★年間休日最大190日以上！
92,インターギアソリューション株式会社 | 【業界トップクラスの売上規模/メンバー数】★応募の秘密は厳守,【転勤なし】全国41都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…
93,株式会社アーキ・ジャパン | 平均月収53万円(施工管理・技術職)【大阪府緊急雇用対策に賛同】,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
94,第一生命保険株式会社 | ◆「プラチナくるみん」認定企業 ◆WEB面談対応OK！ ◆賞与年2回,300万円～500万円
95,株式会社トップガイ | 《業績拡大中》★新店続々OPEN ★週休2日制 ★20代～30代活躍中,【こんなにも早く転職できるなんて！という声が多数！】各プロジェクト先にて、資材管理業務全般をお任せ★土日休み・年収600万円以上も可能
96,ミタカ不動産株式会社 | ― 転職サイト初掲載 ― 固定給＋最大利益の35%を歩合として支給,◆20～30代の男性が中心に活躍中◆経験不問！転職回数も不問です！未経験者大歓迎！『年収面でもっと周りに差をつけたい…』そんな方は是非！
97,クリーンデバイス・テクノロジー株式会社,★希望勤務地を考慮 ★Ｕ・Ｉターン歓迎 ★全国47都道府県のプロジェクト先(首都圏・東北・関西・中…
98,インターギアソリューション株式会社 | 電話が好きであれば採用。（１日150コールと勉強の日々です。）,"■関東 月給226,000円以上＋各種手当＋賞与年2回 (固定残業手当32,000円/20H分を含む) ■関西/中四国 月…"
99,株式会社D・R・M | ★年休120日以上 ★土日祝休み ★女性ものびのび活躍中の職場♪,350万円～500万円
